Year,GeogType,FIPSCode,BoroCode,GeogName,GeoID,Pop1,Male ,Fem,LandAcres
2020,CB2020,005,2,Bronx,20043002005,724,310,414,5.35
2020,CB2020,005,2,Bronx,20043002006,92,44,48,1.77
2020,CB2020,005,2,Bronx,20043002007,95,39,56,1.8
2020,CB2020,005,2,Bronx,20043002008,65,14,51,0.76
2020,CB2020,005,2,Bronx,20043002009,24,8,16,3.33
2020,CB2020,005,2,Bronx,20043002010,550,263,287,3.59
2020,CB2020,005,2,Bronx,20043003000,746,329,417,3.59
2020,CB2020,005,2,Bronx,20043003001,427,187,240,5.97
2020,CB2020,005,2,Bronx,20043004000,481,205,276,2.39
2020,CB2020,005,2,Bronx,20043004001,345,149,196,3.63
2020,CB2020,005,2,Bronx,20043004002,119,56,63,2.19
2020,CB2020,005,2,Bronx,20043004003,199,88,111,1.21
2020,CB2020,005,2,Bronx,20044001000,1286,515,771,14.4
2020,CB2020,005,2,Bronx,20044001001,0,0,0,1.26
2020,CB2020,005,2,Bronx,20044002000,643,253,390,5.49
2020,CB2020,005,2,Bronx,20044003000,313,157,156,6.68
2020,CB2020,005,2,Bronx,20044003001,414,170,244,4.95
2020,CB2020,005,2,Bronx,20044003002,1004,428,576,14.52
2020,CB2020,005,2,Bronx,20044004000,908,347,561,9.26
2020,CB2020,005,2,Bronx,20044004001,74,39,35,8.38
2020,CB2020,005,2,Bronx,20044004002,0,0,0,0.68
2020,CB2020,005,2,Bronx,20046001000,24,8,16,0.41
2020,CB2020,005,2,Bronx,20046001001,0,0,0,0.61
2020,CB2020,005,2,Bronx,20046001002,0,0,0,0.67
2020,CB2020,005,2,Bronx,20046001003,162,81,81,0.97
2020,CB2020,005,2,Bronx,20046001004,0,0,0,2.58
2020,CB2020,005,2,Bronx,20046001005,319,186,133,2.99
2020,CB2020,005,2,Bronx,20046001006,586,275,311,4.17
2020,CB2020,005,2,Bronx,20046001007,302,113,189,5.89
2020,CB2020,005,2,Bronx,20046001008,194,67,127,4.04
2020,CB2020,005,2,Bronx,20046001009,95,52,43,4.58
2020,CB2020,005,2,Bronx,20046001010,0,0,0,1.61
2020,CB2020,005,2,Bronx,20046001011,294,131,163,4.92
2020,CB2020,005,2,Bronx,20048001000,0,0,0,0.97
